recipe_id,recipe_name,ingredients,cuisine,veg_nonveg,instructions,prep_time,difficulty,category,calories
132,Chinese Five Spice Braised Tofu,"Firm tofu, garlic, ginger, soy sauce, five spice powder, sugar, oil, spring onion",Chinese,veg,"Cut tofu into thick slices and pan fry in oil until golden on both sides. Remove and keep aside. In the same pan saut garlic and ginger until aromatic. Add soy sauce, sugar, five spice powder, and water to create braising liquid. Add tofu back and simmer on low heat for 20 minutes, turning occasionally. Finish with spring onion and serve with steamed rice.",50,High,lunch,440
133,Mexican Mole Chicken Bowl,"Chicken, dried chilies, cocoa powder, garlic, onion, tomato, oil, spices, rice",Mexican,non-veg,"Soak dried chilies in hot water until soft and grind with garlic, onion, tomato, and spices. Heat oil and cook chicken pieces until lightly browned. Remove and keep aside. Add mole sauce paste to the pan and cook slowly until thick and glossy. Return chicken to sauce and simmer on low heat for 30 minutes. Serve rich mole chicken over cooked rice.",80,High,lunch,650
134,Middle Eastern Lamb and Rice Pilaf,"Lamb pieces, basmati rice, onion, garlic, cinnamon, cardamom, olive oil, salt",Middle Eastern,non-veg,"Heat olive oil and brown lamb pieces thoroughly. Remove and keep aside. In the same pot saut onion and garlic until golden. Add spices and rice and stir briefly. Return lamb to pot, add water, cover, and cook slowly until rice is fluffy and lamb is tender. Rest for 10 minutes before serving.",90,High,lunch,700
135,Continental Stuffed Chicken Roulade,"Chicken breast, spinach, cheese, garlic, olive oil, salt, pepper",Continental,non-veg,"Butterfly chicken breasts and flatten evenly. Prepare filling by sauting garlic and spinach until wilted, then cool and mix with cheese. Spread filling over chicken, roll tightly, and secure with thread. Sear roulades in olive oil, then finish cooking in oven at 180C for 25 minutes. Slice carefully and serve hot.",70,High,lunch,560
136,Italian Seafood Risotto,"Arborio rice, shrimp, squid, onion, garlic, olive oil, parmesan cheese, stock",Italian,non-veg,Heat olive oil and saut onion and garlic until soft. Add rice and toast lightly. Gradually add hot stock while stirring continuously. Halfway through cooking add seafood and continue adding stock until rice is creamy and cooked. Finish with parmesan cheese and rest for 5 minutes before serving.,75,High,lunch,630
137,Chinese Clay Pot Chicken Rice,"Chicken, rice, soy sauce, ginger, garlic, sesame oil, spring onion",Chinese,non-veg,"Marinate chicken with soy sauce, ginger, and garlic. Cook rice partially in a clay pot. Arrange marinated chicken on top of rice. Cover and cook on very low heat until rice absorbs chicken juices and forms crispy bottom. Drizzle sesame oil, garnish with spring onion, and serve hot.",85,High,lunch,680
138,Vegetable Poha Cutlet,"Flattened rice, potato, onion, green chili, ginger, spices, oil, salt",Indian,veg,"Wash flattened rice and squeeze excess water. Mix with boiled mashed potato, chopped onion, green chili, ginger, salt, and spices. Shape into small patties. Heat oil in a pan and shallow fry until golden brown on both sides. Serve hot with chutney.",25,Easy,snack,210
139,Masala Corn Chaat,"Sweet corn, onion, tomato, lemon juice, chaat masala, salt, butter",Indian,veg,"Boil sweet corn until tender and drain. Heat butter in a pan and saut corn for 2 minutes. Add chopped onion, tomato, salt, and chaat masala. Mix well, finish with lemon juice, and serve warm.",15,Easy,snack,180
140,Paneer Sandwich Toast,"Bread, paneer, onion, green chili, butter, salt, pepper",Indian,veg,"Grate paneer and mix with chopped onion, green chili, salt, and pepper. Butter bread slices and spread paneer mixture evenly. Toast on a pan or grill until bread is crisp and filling is heated. Serve hot.",20,Easy,snack,260
141,Vegetable Samosa,"Flour, potato, peas, spices, oil, salt",Indian,veg,"Prepare dough using flour, oil, salt, and water and rest it. Cook potato and peas with spices to make filling. Roll dough, fill with mixture, shape samosas, and deep fry in medium-hot oil until crisp. Serve hot with chutney.",45,Medium,snack,320
142,Paneer Pakora,"Paneer, gram flour, spices, oil, salt",Indian,veg,"Prepare thick batter using gram flour, spices, salt, and water. Dip paneer slices into batter. Deep fry in hot oil until golden and crisp. Drain excess oil and serve hot.",30,Medium,snack,300
143,Aloo Tikki Chaat,"Potato, spices, yogurt, tamarind chutney, oil, salt",Indian,veg,Mash boiled potatoes with spices and salt. Shape into patties. Shallow fry until crisp. Top with yogurt and tamarind chutney. Serve immediately.,35,Medium,snack,340
144,Chicken Bread Roll,"Bread, chicken mince, onion, garlic, spices, oil, salt",Indian,non-veg,"Cook chicken mince with onion, garlic, and spices until dry. Flatten bread slices, fill with chicken mixture, roll tightly. Shallow fry until golden brown. Serve hot.",40,Medium,snack,350
145,Dahi Kachori,"Flour, lentils, spices, yogurt, chutneys, oil, salt",Indian,veg,"Prepare lentil filling with spices. Make dough, stuff with filling, and deep fry until crisp. Crush kachoris slightly and top with yogurt and chutneys. Serve fresh.",60,High,snack,380
146,Chicken Seekh Kebab,"Chicken mince, onion, garlic, spices, oil, salt",Indian,non-veg,"Mix chicken mince with onion, garlic, spices, and salt. Shape onto skewers. Grill or pan cook with oil until evenly cooked and slightly charred. Serve hot.",50,High,snack,400
147,Vegetable Momos,"Flour, cabbage, carrot, garlic, oil, salt",Indian,veg,"Prepare dough with flour and water. Cook vegetable filling lightly with garlic and salt. Fill dough wrappers, shape momos, and steam until cooked. Serve hot with chutney.",55,High,snack,260
148,Chicken Momos,"Flour, chicken mince, garlic, onion, oil, salt",Indian,non-veg,Prepare dough and chicken filling. Fill wrappers and shape momos carefully. Steam for 1215 minutes until cooked through. Serve hot.,60,High,snack,320
149,Paneer Stuffed Kulcha,"Flour, paneer, onion, spices, butter, salt",Indian,veg,Prepare soft dough and paneer stuffing with spices. Stuff dough balls and roll gently. Cook on tawa with butter until golden spots appear. Serve hot.,45,High,snack,360
150,Chicken Cheese Balls,"Chicken mince, cheese, bread crumbs, spices, oil, salt",Indian,non-veg,Mix chicken mince with spices and salt. Stuff cheese cubes inside mixture and shape balls. Roll in breadcrumbs and deep fry until golden. Serve hot.,50,High,snack,420
151,Vegetable Cutlet Roll,"Vegetable cutlet, roti, onion, chutney, oil",Indian,veg,"Prepare vegetable cutlets and keep ready. Heat roti lightly on pan. Place cutlet, onion, and chutney on roti. Roll tightly and serve warm.",30,Medium,snack,300
152,Chicken Puff Pastry,"Puff pastry sheets, chicken, onion, spices, butter, salt",Indian,non-veg,Cook chicken with onion and spices until dry. Fill pastry sheets with mixture and seal edges. Bake at 180C for 25 minutes until puffed and golden. Serve hot.,55,High,snack,450
153,Vegetable Manchurian Balls,"Cabbage, carrot, flour, garlic, soy sauce, oil, salt",Chinese,veg,"Finely chop cabbage and carrot and squeeze out excess water. Mix with flour, salt, and garlic to form a soft mixture. Shape into small balls and deep fry in medium-hot oil until golden and crisp. Serve hot with soy or chili sauce.",30,Easy,snack,290
154,Chicken Chilli Toast,"Bread, cooked chicken, garlic, soy sauce, oil, pepper",Chinese,non-veg,Finely chop cooked chicken and saut with garlic and soy sauce. Spread mixture evenly on bread slices. Toast on pan or oven until bread is crisp and topping is heated. Cut into pieces and serve hot.,20,Easy,snack,310
155,Italian Cheese Garlic Bread,"Bread, garlic, butter, cheese, herbs",Italian,veg,Mix softened butter with garlic and herbs. Spread mixture on bread slices and top with grated cheese. Bake or toast until cheese melts and bread turns crisp. Serve warm.,15,Easy,snack,280
156,Italian Veg Panini,"Bread, zucchini, bell pepper, cheese, olive oil, salt",Italian,veg,Grill sliced vegetables with olive oil and salt. Place vegetables and cheese between bread slices. Grill or toast until bread is crisp and cheese melts. Serve warm.,25,Easy,snack,320
157,Mexican Veg Quesadilla,"Tortilla, cheese, onion, capsicum, oil, salt",Mexican,veg,Sauteee onion and capsicum lightly with oil and salt. Spread vegetables and cheese on tortilla. Fold and cook on pan until golden and cheese melts. Cut and serve hot.,20,Easy,snack,330
158,Mexican Chicken Nachos,"Nachos, cooked chicken, cheese, jalapeno",Mexican,non-veg,Spread nachos on a baking tray. Top with shredded chicken and cheese. Bake until cheese melts completely. Add jalapenos and serve immediately.,20,Easy,snack,380
159,Vegetable Cheese Croquettes,"Potato, cheese, bread crumbs, oil, salt",Continental,veg,Mash boiled potatoes with salt and cheese. Shape into small cylinders and coat with breadcrumbs. Deep fry until golden brown. Serve hot.,35,Easy,snack,340
160,Chicken Sausage Bites,"Chicken sausage, oil, herbs",Continental,non-veg,Slice chicken sausages into bite-sized pieces. Pan fry with oil and herbs until lightly crisp. Serve hot with dip.,15,Easy,snack,300
161,Falafel Balls,"Chickpeas, garlic, parsley, flour, oil, salt",Middle Eastern,veg,"Blend soaked chickpeas with garlic, parsley, salt, and flour. Shape into small balls. Deep fry until crisp and golden. Serve hot.",40,Easy,snack,310
162,Chicken Shawarma Wrap Bites,"Chicken, flatbread, garlic sauce, oil, spices",Middle Eastern,non-veg,Cook chicken with oil and spices until tender. Wrap chicken in flatbread with garlic sauce. Cut into small pieces and serve warm.,30,Easy,snack,360
163,Crispy Honey Chilli Chicken Bites,"Chicken breast, cornflour, garlic, dry red chilli, honey, soy sauce, oil, salt",Chinese,non-veg,"Cut chicken into bite-sized pieces. Marinate with salt and cornflour. Deep fry chicken in hot oil until crisp and golden. Drain excess oil. In a pan, heat oil and saut garlic and dry red chilli until aromatic. Add soy sauce and honey, mix well. Toss fried chicken into the sauce. Cook on medium heat until evenly coated and glossy. Serve hot.",35,Medium,snack,390
164,Vegetable Dragon Rolls,"Spring roll sheets, cabbage, carrot, garlic, soy sauce, oil",Chinese,veg,"Finely shred cabbage and carrot. Stir fry with garlic and soy sauce. Allow filling to cool completely. Place filling on spring roll sheets, roll tightly, and seal edges. Deep fry on medium heat until crisp and golden brown. Serve hot with chili dip.",40,Medium,snack,330
165,Italian Arancini Rice Balls,"Cooked rice, cheese, breadcrumbs, olive oil, garlic, herbs",Italian,veg,"Mix cooked rice with garlic, herbs, and grated cheese. Shape mixture into small balls with cheese in the center. Roll balls in breadcrumbs evenly. Deep fry until golden and crisp. Drain excess oil and serve warm.",45,Medium,snack,370
166,Chicken Stuffed Italian Crostini,"Bread slices, cooked chicken, cheese, garlic, olive oil",Italian,non-veg,Toast bread slices lightly with olive oil. Mix shredded chicken with garlic and cheese. Spread mixture on toasted bread. Bake until topping is heated and cheese melts. Serve warm as finger food.,30,Medium,snack,350
167,Mexican Loaded Bean Nachos,"Nachos, kidney beans, onion, cheese, jalapeno",Mexican,veg,"Cook kidney beans with salt until soft and lightly mashed. Spread nachos on a baking tray. Top with beans, onion, jalapenos, and cheese. Bake until cheese melts and bubbles. Serve immediately.",30,Medium,snack,410
168,Mexican Chicken Taquitos,"Tortilla, cooked chicken, cheese, oil, spices",Mexican,non-veg,Mix shredded chicken with spices and cheese. Fill tortillas with mixture and roll tightly. Secure with toothpicks if needed. Deep fry until crisp and golden. Serve hot with dip.,35,Medium,snack,420
169,Cheese Stuffed Potato Skins,"Potatoes, cheese, butter, salt, pepper",Continental,veg,"Boil potatoes and cut in half. Scoop out center carefully. Fill potato skins with cheese, butter, salt, and pepper. Bake until cheese melts and skins are crisp. Serve hot.",40,Medium,snack,360
170,Chicken Popcorn Bites,"Chicken, flour, spices, oil",Continental,non-veg,Cut chicken into small cubes. Coat with flour and spices evenly. Deep fry in hot oil until crisp and cooked through. Drain excess oil and serve hot.,30,Medium,snack,400
171,Falafel Stuffed Pita Pockets,"Falafel balls, pita bread, lettuce, tahini sauce",Middle Eastern,veg,Warm pita bread and cut open to form pockets. Place falafel balls inside with lettuce. Drizzle with tahini sauce evenly. Serve warm.,30,Medium,snack,380
172,Middle Eastern Chicken Kibbeh,"Minced chicken, bulgur wheat, spices, oil",Middle Eastern,non-veg,Soak bulgur wheat and drain excess water. Mix with minced chicken and spices thoroughly. Shape into oval croquettes. Deep fry until crisp and cooked inside. Serve hot.,45,Medium,snack,420
173,Italian Spinach Cheese Rolls,"Pastry sheets, spinach, cheese, olive oil",Italian,veg,"Cook spinach lightly and remove excess moisture. Mix with cheese and seasoning. Fill pastry sheets, roll tightly, and seal edges. Bake until golden and crisp. Serve warm.",40,Medium,snack,360
174,Chinese Stuffed Mushroom Caps,"Mushrooms, garlic, soy sauce, cheese",Chinese,veg,Remove stems from mushrooms and chop finely. Sauteee chopped stems with garlic and soy sauce. Stuff mixture into mushroom caps and top with cheese. Bake until mushrooms are tender and cheese melts. Serve hot.,35,Medium,snack,310
175,Crispy Chilli Lotus Stem,"Lotus stem, cornflour, garlic, dry red chilli, soy sauce, vinegar, oil, salt",Chinese,veg,"Slice lotus stem thinly and soak in water. Drain and coat with cornflour and salt. Deep fry in hot oil until crisp and golden. Remove and drain excess oil. Heat oil in a pan, saut garlic and dry red chilli until fragrant. Add soy sauce and vinegar, mix well. Toss fried lotus stem until evenly coated. Serve hot as a crunchy snack.",35,Medium,snack,320
176,Chicken Chive Dumpling Pancakes,"Minced chicken, chives, flour, garlic, soy sauce, oil",Chinese,non-veg,"Mix minced chicken with chopped chives, garlic, and soy sauce. Prepare soft dough using flour and water. Roll dough into small discs. Place filling inside, seal, and flatten gently. Pan-fry pancakes on medium heat until golden and cooked through. Serve hot with dipping sauce.",40,Medium,snack,390
177,Italian Polenta Cheese Bites,"Polenta, cheese, butter, herbs, olive oil",Italian,veg,"Cook polenta until thick and smooth. Mix in butter, herbs, and grated cheese. Spread mixture into a tray and allow to set completely. Cut into bite-sized squares. Pan-fry or bake until crisp on the outside. Serve warm.",45,Medium,snack,360
178,Chicken Mozzarella Fritters,"Cooked chicken, mozzarella, breadcrumbs, egg, olive oil",Italian,non-veg,Combine shredded chicken with mozzarella and egg. Shape mixture into small patties. Coat evenly with breadcrumbs. Shallow fry until golden and crisp on both sides. Serve hot.,35,Medium,snack,410
179,Mexican Corn and Cheese Empanadas,"Flour, corn kernels, cheese, butter, spices, oil",Mexican,veg,"Prepare dough using flour and butter. Rest dough for 20 minutes. Mix corn, cheese, and spices for filling. Roll dough, fill, fold, and seal edges. Deep fry until golden and crisp. Serve hot.",45,Medium,snack,380
180,Chicken Quesadilla Bites,"Tortilla, chicken, cheese, onion, oil",Mexican,non-veg,Cook chicken with onion until tender. Spread chicken and cheese on tortilla. Fold and cook on pan until crisp and cheese melts. Cut into bite-sized pieces and serve hot.,30,Medium,snack,420
181,Herbed Mushroom Croquettes,"Mushrooms, potato, breadcrumbs, butter, herbs, oil",Continental,veg,Cook mushrooms and mash with boiled potato and herbs. Shape mixture into cylinders. Coat with breadcrumbs. Deep fry until crisp and golden. Serve hot.,40,Medium,snack,350
182,Chicken Stuffed Puff Pastry,"Puff pastry, chicken, onion, butter, herbs",Continental,non-veg,Cook chicken with onion and herbs until tender. Cut puff pastry into squares. Fill with chicken mixture and seal edges. Bake until pastry is golden and flaky. Serve warm.,45,Medium,snack,430
183,Cheese Sambousek,"Flour, cheese, butter, milk, oil",Middle Eastern,veg,"Prepare soft dough using flour, butter, and milk. Fill with cheese mixture and seal into crescents. Deep fry until golden brown. Serve hot.",40,Medium,snack,370
184,Chicken Shawarma Pockets,"Chicken, pita bread, garlic, spices, oil",Middle Eastern,non-veg,Marinate chicken with garlic and spices. Cook on pan until tender and lightly charred. Fill warm pita bread with chicken. Serve hot.,35,Medium,snack,420
185,Italian Zucchini Ricotta Fritters,"Zucchini, ricotta cheese, flour, egg, olive oil",Italian,veg,"Grate zucchini and squeeze excess water. Mix with ricotta, egg, and flour. Pan-fry spoonfuls until golden. Serve warm.",30,Medium,snack,340
186,Chinese Pepper Chicken Skewers,"Chicken, bell pepper, garlic, soy sauce, oil",Chinese,non-veg,Marinate chicken with garlic and soy sauce. Skewer chicken with bell peppers. Grill or pan fry until cooked and lightly charred. Serve hot.,35,Medium,snack,390
187,Mexican Spinach Cheese Flautas,"Tortilla, spinach, cheese, oil",Mexican,veg,Cook spinach and mix with cheese. Fill tortillas and roll tightly. Deep fry until crisp. Serve hot.,30,Medium,snack,360
188,Continental Baked Veg Cutlets,"Mixed vegetables, potato, breadcrumbs, herbs",Continental,veg,Mix mashed potato with cooked vegetables and herbs. Shape into patties and coat with breadcrumbs. Bake until golden on both sides. Serve warm.,40,Medium,snack,330
189,Middle Eastern Spiced Chicken Cubes,"Chicken, spices, garlic, olive oil",Middle Eastern,non-veg,"Marinate chicken with spices, garlic, and olive oil. Pan fry on medium heat until cooked and lightly crisp. Serve hot.",30,Medium,snack,400
190,Italian Tomato Basil Bruschetta Cups,"Bread, tomato, basil, olive oil, garlic",Italian,veg,Cut bread into rounds and toast until crisp. Mix chopped tomato with basil and garlic. Spoon mixture onto bread cups. Serve fresh.,25,Medium,snack,280
191,Chinese Sesame Veg Fingers,"Mixed vegetables, flour, sesame seeds, oil",Chinese,veg,Mix vegetables with flour and seasoning. Shape into fingers and coat with sesame seeds. Deep fry until crisp. Serve hot.,35,Medium,snack,340
192,Mexican Stuffed Jalapeno Poppers,"Jalapenos, cheese, breadcrumbs, oil",Mexican,veg,Slit jalapenos and remove seeds. Fill with cheese and coat with breadcrumbs. Deep fry until golden. Serve hot.,30,Medium,snack,370
193,Continental Creamy Chicken Toast,"Bread, chicken, cream, butter",Continental,non-veg,Cook chicken in butter and cream until thick. Spread mixture on bread slices. Toast until golden. Serve warm.,25,Medium,snack,410
194,Middle Eastern Herb Cheese Balls,"Cheese, herbs, flour, oil",Middle Eastern,veg,Mix cheese with herbs and flour. Shape into small balls. Deep fry until golden brown. Serve hot.,30,Medium,snack,360
195,Vegetable Oats Upma,"Oats, onion, carrot, peas, mustard seeds, curry leaves, oil, salt",Indian,veg,Dry roast oats lightly and keep aside. Heat oil in a pan and add mustard seeds and curry leaves. Add chopped onion and saut until soft. Add carrot and peas and cook for 2 to 3 minutes. Add water and salt and bring to a boil. Add roasted oats slowly while stirring continuously. Cook on low heat until mixture thickens. Serve hot.,20,Easy,breakfast,280
196,Besan Chilla with Vegetables,"Gram flour, onion, tomato, green chilli, turmeric, oil, salt",Indian,veg,"Mix gram flour with water, turmeric, and salt to form a smooth batter. Add finely chopped onion, tomato, and green chilli. Heat a pan, pour batter, spread gently, drizzle oil, and cook until golden on both sides. Serve hot with chutney.",15,Easy,breakfast,250
197,Vegetable Poha with Peanuts,"Flattened rice, onion, potato, peanuts, mustard seeds, oil, turmeric, salt",Indian,veg,Wash poha and drain excess water. Heat oil and add mustard seeds and peanuts. Add onion and potato and cook until soft. Add turmeric and salt. Add poha and mix gently. Cook for 3 to 4 minutes. Serve hot.,20,Easy,breakfast,270
198,Vegetable Vermicelli Upma,"Vermicelli, onion, carrot, beans, mustard seeds, oil, salt",Indian,veg,Dry roast vermicelli until light golden. Heat oil and add mustard seeds. Add onion and vegetables and saut briefly. Add water and salt and bring to boil. Add vermicelli and cook until soft. Serve hot.,20,Easy,breakfast,260
199,Paneer Stuffed Toast,"Bread, paneer, onion, green chilli, butter, spices",Indian,veg,"Mix grated paneer with onion, green chilli, and spices. Spread mixture on buttered bread slices. Toast on pan until crisp and golden. Serve hot.",15,Easy,breakfast,300
200,Vegetable Masala Dosa,"Rice, lentils, potato, onion, spices, oil",Indian,veg,"Prepare fermented dosa batter. Cook potato with onion and spices to make masala. Spread batter on hot tawa, drizzle oil, place masala, fold, and cook until crisp. Serve hot with chutney.",35,Medium,breakfast,380
201,Paneer Paratha,"Wheat flour, paneer, spices, oil",Indian,veg,"Prepare soft dough. Mix grated paneer with spices. Stuff filling inside dough balls, roll gently, and cook on tawa until golden. Serve hot.",30,Medium,breakfast,420
202,Vegetable Uttapam,"Rice, lentils, onion, tomato, oil",Indian,veg,Pour thick batter on hot pan. Sprinkle chopped vegetables on top. Cook covered until base turns golden. Flip gently and cook briefly. Serve hot.,30,Medium,breakfast,350
203,Moong Dal Chilla Stuffed with Paneer,"Moong dal, paneer, spices, oil",Indian,veg,"Soak moong dal and grind to smooth batter. Make chilla on pan. Add paneer filling, fold, and cook until crisp. Serve hot.",30,Medium,breakfast,360
204,Rava Idli with Vegetables,"Semolina, curd, vegetables, fruit salt, oil",Indian,veg,"Mix semolina, curd, vegetables, and salt. Rest batter briefly. Add fruit salt and steam idlis until cooked. Serve hot.",35,Medium,breakfast,310
205,Mysore Masala Dosa,"Rice, lentils, potato, red chutney, oil",Indian,veg,"Prepare dosa batter and spicy red chutney. Spread chutney on dosa, add potato masala, and cook until crisp. Serve hot.",40,High,breakfast,420
206,Vegetable Handvo,"Rice, lentils, mixed vegetables, spices, oil",Indian,veg,Prepare fermented batter with vegetables and spices. Cook slowly in pan or bake until crust forms. Serve warm.,45,High,breakfast,410
207,Methi Thepla,"Wheat flour, fenugreek leaves, spices, oil",Indian,veg,Knead dough with methi leaves and spices. Roll thin theplas. Cook on tawa with oil until golden. Serve hot.,35,High,breakfast,390
208,Vegetable Stuffed Idiyappam,"Rice flour, vegetables, spices",Indian,veg,Prepare idiyappam dough and steam noodles. Prepare vegetable filling separately. Stuff and steam lightly again. Serve hot.,45,High,breakfast,360
209,Vegetable Pesarattu,"Green gram, onion, ginger, oil",Indian,veg,"Soak green gram and grind with ginger. Spread batter on tawa, add onion topping, drizzle oil, and cook until crisp. Serve hot.",35,Medium,breakfast,340
210,Curd Rice with Vegetables,"Rice, curd, carrot, oil, mustard seeds",Indian,veg,Cook rice and cool slightly. Mix with curd and salt. Prepare tempering with mustard seeds and oil. Add vegetables and mix. Serve chilled or warm.,20,Easy,breakfast,300
212,Stuffed Rava Toast,"Semolina, curd, vegetables, bread, oil",Indian,veg,Prepare thick rava batter with vegetables. Spread on bread slices and toast until crisp. Serve hot.,20,Easy,breakfast,290
213,Paneer Bhurji Sandwich,"Bread, paneer, onion, spices, butter",Indian,veg,Cook paneer with onion and spices. Fill mixture between buttered bread slices and toast. Serve hot.,20,Easy,breakfast,340
214,Vegetable Khara Bath,"Semolina, vegetables, spices, ghee",Indian,veg,Roast semolina in ghee. Cook vegetables with spices. Add water and bring to boil. Add semolina and cook until thick. Serve hot.,30,Medium,breakfast,360
215,Chinese Vegetable Steamed Buns,"All-purpose flour, cabbage, carrot, spring onion, garlic, soy sauce, oil, yeast, salt",Chinese,veg,"Prepare soft dough using flour, yeast, water, and salt and rest until doubled. Finely chop cabbage, carrot, spring onion, and garlic. Sauteee vegetables lightly with oil and soy sauce until moisture evaporates. Cool completely. Divide dough, stuff filling, seal properly, and rest for 10 minutes. Steam buns for 1215 minutes until fluffy. Serve hot.",45,High,breakfast,360
216,Chinese Vegetable Congee,"Rice, carrot, mushroom, ginger, soy sauce, sesame oil, salt",Chinese,veg,"Wash rice and cook with excess water until grains break down completely. Add finely chopped carrot, mushroom, and grated ginger. Simmer slowly until thick and porridge-like. Season with salt, soy sauce, and sesame oil. Serve hot.",30,Easy,breakfast,250
217,Chinese Scallion Pancake,"All-purpose flour, spring onion, oil, salt",Chinese,veg,"Knead soft dough using flour and water. Roll thin and brush with oil. Sprinkle chopped spring onions and salt. Roll, coil, flatten, and pan-fry until crisp. Cook on medium heat until golden on both sides. Serve hot.",30,Medium,breakfast,330
218,Italian Vegetable Frittata,"Eggs, zucchini, bell pepper, onion, olive oil, salt, black pepper",Italian,non-veg,Sauteee chopped vegetables in olive oil until soft. Beat eggs with salt and pepper. Pour eggs over vegetables and cook on low heat until set. Flip carefully or finish in oven. Serve warm.,25,Medium,breakfast,380
219,Italian Ricotta Toast with Herbs,"Bread, ricotta cheese, olive oil, basil, salt, pepper",Italian,veg,"Toast bread slices until crisp. Spread ricotta generously. Drizzle olive oil and sprinkle chopped basil, salt, and pepper. Serve fresh.",10,Easy,breakfast,290
220,Italian Breakfast Polenta with Vegetables,"Polenta, milk, zucchini, mushroom, olive oil, salt",Italian,veg,Cook polenta slowly in salted milk until creamy. Sauteee vegetables in olive oil until lightly browned. Top creamy polenta with vegetables and serve hot.,35,High,breakfast,410
221,Mexican Veg Breakfast Burrito,"Tortilla, beans, bell pepper, onion, cheese, cumin, oil",Mexican,veg,"Sauteee onion and bell pepper with cumin. Add cooked beans and mash lightly. Warm tortilla, add filling, sprinkle cheese, roll tightly. Toast lightly on pan and serve hot.",25,Medium,breakfast,420
222,Mexican Scrambled Eggs with Veggies,"Eggs, tomato, onion, chilli, oil, salt",Mexican,non-veg,"Sauteee onion, tomato, and chilli in oil. Add beaten eggs and scramble gently until just cooked. Season with salt and serve hot.",15,Easy,breakfast,340
223,Mexican Chilaquiles Verde,"Tortilla chips, tomatillo sauce, cheese, onion, oil",Mexican,veg,Heat green sauce in pan. Add tortilla chips and toss gently. Top with cheese and onion. Cook briefly until chips soften slightly. Serve immediately.,25,High,breakfast,450
224,Middle Eastern Shakshuka,"Eggs, tomato, bell pepper, onion, olive oil, cumin",Middle Eastern,non-veg,Cook onion and bell pepper in olive oil. Add tomato puree and spices. Simmer until thick. Make wells and crack eggs. Cover and cook until eggs are just set. Serve hot.,30,Medium,breakfast,390
225,Middle Eastern Labneh Toast,"Bread, labneh, olive oil, zaatar",Middle Eastern,veg,Toast bread slices. Spread labneh evenly. Drizzle olive oil and sprinkle zaatar. Serve fresh.,10,Easy,breakfast,270
226,Middle Eastern Falafel Breakfast Bowl,"Chickpeas, herbs, garlic, olive oil, spices",Middle Eastern,veg,Grind soaked chickpeas with herbs and spices. Shape into balls and fry until crisp. Serve with salad and hummus.,45,High,breakfast,430
227,Continental Vegetable Omelette,"Eggs, onion, bell pepper, butter, salt, pepper",Continental,non-veg,Beat eggs with salt and pepper. Sauteee vegetables in butter. Pour eggs and cook gently. Fold and serve hot.,15,Easy,breakfast,360
228,Continental Baked Breakfast Beans,"Beans, tomato sauce, garlic, olive oil",Continental,veg,Sauteee garlic in olive oil. Add beans and tomato sauce. Simmer gently and bake briefly until thick. Serve hot.,30,Medium,breakfast,340
229,Continental Croissant with Veg Filling,"Croissant, bell pepper, cheese, butter",Continental,veg,Slice croissant and lightly toast. Sauteee vegetables in butter. Fill croissant with vegetables and cheese. Bake briefly until cheese melts. Serve warm.,25,High,breakfast,460
230,Chinese Egg Drop Soup with Vegetables,"Eggs, carrot, spring onion, garlic, soy sauce, sesame oil, water, salt",Chinese,non-veg,"Bring water to a gentle boil and add minced garlic and chopped carrot. Simmer until vegetables soften. Lower heat and slowly drizzle beaten eggs while stirring gently. Season with soy sauce, salt, and sesame oil. Garnish with spring onion and serve hot.",20,Easy,breakfast,260
231,Chinese Vegetable Fried Rice Breakfast Bowl,"Cooked rice, carrot, beans, spring onion, garlic, oil, soy sauce",Chinese,veg,"Heat oil in a wok and saut garlic until aromatic. Add chopped vegetables and stir-fry on high heat until crisp-tender. Add rice and soy sauce, tossing continuously to avoid clumping. Garnish with spring onion and serve hot.",25,Medium,breakfast,390
232,Italian Spinach and Ricotta Omelette,"Eggs, spinach, ricotta cheese, olive oil, salt, black pepper",Italian,non-veg,"Sauteee spinach in olive oil until wilted. Beat eggs with salt and pepper. Pour eggs into pan, add ricotta, and cook on low heat until set. Fold gently and serve warm.",20,Medium,breakfast,370
233,Italian Savory Breakfast Tart,"Pastry base, zucchini, onion, cheese, olive oil, salt",Italian,veg,"Preheat oven to 180C. Sauteee zucchini and onion until soft. Arrange vegetables over pastry base, sprinkle cheese and salt. Bake until crust is golden and filling is set. Cool slightly before serving.",40,High,breakfast,430
234,Mexican Breakfast Quesadilla,"Tortilla, cheese, bell pepper, onion, oil",Mexican,veg,Sauteee bell pepper and onion lightly. Place filling and cheese between tortillas. Cook on hot pan until tortillas crisp and cheese melts. Cut and serve hot.,20,Easy,breakfast,410
235,Mexican Huevos Rancheros,"Eggs, tortilla, tomato sauce, onion, oil",Mexican,non-veg,Heat tomato sauce with sauted onion. Fry eggs separately until sunny-side up. Warm tortillas and place eggs on top. Spoon hot sauce over eggs and serve immediately.,25,Medium,breakfast,450
236,Middle Eastern Chickpea Breakfast Skillet,"Chickpeas, onion, garlic, olive oil, cumin, paprika",Middle Eastern,veg,Sauteee onion and garlic in olive oil. Add chickpeas and spices. Cook until chickpeas are lightly crisped. Serve hot with bread.,25,Easy,breakfast,360
